repo,number,title,author,mergedBy
django/django,10087,"Fixed #29518 -- Added validation for sqlmigrate's app_label argument","MyungSeKyo","timgraham"
django/django,10097,"Fixed #29528 -- Made URLValidator reject invalid characters in the username and password.","timb07","timgraham"
django/django,10213,"Fixed #29560 -- Added --force-color management command option.","hramezani","timgraham"
django/django,10287,"Fixed #29408 -- Added validation of related fields and lookups in model Meta.ordering.","hramezani","felixxm"
django/django,10301,"Fixed #29500 -- Fixed SQLite function crashes on null values.","ngnpope","timgraham"
django/django,10316,"Fixed #29236 -- Fixed diffsettings crash if using settings.configure().","hramezani","timgraham"
django/django,10390,"Fixed #29754 -- Added is_dst parameter to Trunc database functions.","ahbk","timgraham"
django/django,10426," Fixed #29783 -- Added app label validation to showmigrations command","cupjoo","timgraham"
django/django,10531,"Fixed #12952 -- Made admin's model history change messages use form labels instead of field names.","CuriousLearner","carltongibson"
django/django,10554,"Fixed #29834 -- Fixed column mismatch crash with QuerySet.values()/values_list() and order_by() on combined querysets.","cansarigol","felixxm"
django/django,10606,"Fixed #29919 -- Fixed RelatedOnlyFieldListFilter crash with reverse relationships.","mgrdcm","felixxm"
django/django,10643,"Fixed #29915 -- Added support for values with hyphens to pattern lookups for UUIDField on backends without UUID datatype.","LilyFirefly","felixxm"
django/django,10680,"Fixed #29979, Refs #17337 -- Extracted AutoField field logic into a mixin and refactored AutoFields.","ngnpope","felixxm"
django/django,10730,"Fixed #29393 -- Prevented infinite loop in ExceptionReporter.get_traceback_frames().","vinayinvicible","timgraham"
django/django,10737,"Fixed #29619 -- Raised FieldError's should include the field that caused the error","hramezani","timgraham"
django/django,10853,"Fixed #30027 -- Errored out on Window function usage if unsupported.","charettes","timgraham"
django/django,10880,"Fixed #30120 -- Fixed a regression in distinct aggregate SQL generation.","charettes","timgraham"
django/django,10904,"Fixed #30137 -- Replaced OSError aliases with the canonical OSError.","jdufresne","timgraham"
django/django,10910,"Fixed #30128 -- Fixed handling timedelta timezone in database functions.","cansarigol","felixxm"
django/django,10914,"Fixed #30004 -- Set default FILE_UPLOAD_PERMISSION to 0o644","Himanshu-Lakhara","timgraham"
django/django,10924,"Fixed #29529 -- Allowed models.fields.FilePathField to accept a callable path.","jajce","felixxm"
django/django,10939,"Fixed #30153 -- Fixed incorrect form Media asset ordering after three way merge.","matthiask","timgraham"
django/django,10957,"Fixed #30165 -- Deprecated ugettext, ugettext_lazy, ugettext_noop, ungettext, and ungettext_lazy.","jdufresne","timgraham"
django/django,10973,"Fixed #30173 -- Simplified db.backends.postgresql.client.","dbowring","timgraham"
django/django,10989,"Fixed #30184 -- Removed ellipsis characters from shell output strings.","danizen","timgraham"
django/django,10997,"Fixed #30186 -- Made showmigrations --list display the applied datetimes at verbosity 2+.","tim-schilling","timgraham"
django/django,10999,"Fixed #30141 -- Fixed parse_duration() for some negative durations.","earlbread","timgraham"
django/django,11001,"Fixed #29692 -- Fixed removing ordering parts for multiline RawSQL expressions.","cansarigol","felixxm"
django/django,11003,"Fixed #30014 -- Fixed ModelChoiceField validation when initial value is a model instance.","ptibilou","felixxm"
django/django,11011,"Fixed #30196 -- Made FileResponse always set Content-Disposition header.","ShingenPizza","carltongibson"
django/django,11019,"Fixed #30179 -- Fixed form Media merging when pairwise merging is insufficient.","matthiask","timgraham"
django/django,11030,"Fixed #30158 -- Avoided unnecessary subquery group by on aggregation.","charettes","timgraham"
django/django,11034,"Fixed #30221 -- Made label suffix of admin's read-only fields translatable.","ptibilou","timgraham"
django/django,11044,"Fixed #29459 -- Initialized form data/files with empty MultiValueDicts.","AndraIonescu","timgraham"
django/django,11049,"Fixed #30232 - Corrected error message for invalid DurationField","avas9366","timgraham"
django/django,11053,"Fixed #30234 -- Disallowed non-upper settings in settings.configure().","orlnub123","timgraham"
django/django,11057,"Fixed #30237 -- Made Authentication/SessionMiddleware and ModelBackend admin checks allow subclasses.","hermansc","timgraham"
django/django,11062,"Subquery resolving refactor and bug fixing.","charettes","timgraham"
django/django,11066,"Fixed #29706 -- Made RenameContentType._rename() save to the correct database.","hramezani","felixxm"
django/django,11070,"Fixed #29379 -- Add autocomplete attribute to contrib.auth fields","hramezani","carltongibson"
django/django,11085,"Fixed #30254 - allow model metaclasses to access the attribute dict in __init__","gasman","timgraham"
django/django,11087,"Fixed #30191 -- Only selected referenced fields during cascade deletion. ","charettes","felixxm"
django/django,11088,"Fixed #28431 -- Added a system check for BinaryField to prevent strings defaults.","hramezani","felixxm"
django/django,11095,"Fixed #27755 -- Added ModelAdmin.get_inlines() hook.","hramezani","felixxm"
django/django,11096,"Fixed #30259 -- Added support for admin_order_field attribute on properties in ModelAdmin.list_display.","jtiai","felixxm"
django/django,11099,"Fixed #30257 -- Made UsernameValidators prohibit trailing newlines.","rjschave","timgraham"
django/django,11115,"Fixed #27360 -- Make it easier to track down the offending models for AlreadyRegistered exceptions.","hramezani","timgraham"
django/django,11119,"Fixed #29791 -- Honor engine's autoescape attribute in render_to_string","n6g7","timgraham"
django/django,11129,"Fixed #28408 -- Added error message when updating with annotated expressions on joined fields.","cansarigol","felixxm"
django/django,11133,"Fixed #30294 -- Allowed HttpResponse to accept memoryview objects.","laymonage","timgraham"
django/django,11138,"Fixed #28373 -- Used connection timezone instead of UTC when making dates timezone-aware on MySQL, SQLite, and Oracle.","cansarigol","felixxm"
django/django,11141,"Fixed #30300 -- Allowed migrations to be loaded from directories without __init__.py files.","benjyw","felixxm"
django/django,11149,"Fixed #30289 -- Prevented admin inlines for a ManyToManyField's implicit through model from being editable if the user only has the view permission.","timgraham","timgraham"
django/django,11155,"Fixed #30304 -- Added support for HttpOnly, SameSite, and Secure flags on language cookies.","bluetech","felixxm"
django/django,11163,"Fixed #30302 -- Fixed forms.model_to_dict() result if empty list of fields is passed.","belegnar","felixxm"
django/django,11165,"Fixed #30310 -- Added support for looking up HttpHeaders.headers using underscores.","Troon","carltongibson"
django/django,11166,"Fixed #30312 -- Relaxed admin check from django.contrib.sessions to SessionMiddleware subclasses.","akx","felixxm"
django/django,11169,"Fixed #30318 -- Added check for importability of arguments of custom error handler views.","alasdairnicol","felixxm"
django/django,11170,"Fixed #30324 -- Forced utf-8 encoding when loading debug templates.","ngnpope","carltongibson"
django/django,11177,"Fixed #30323 -- Fixed spurious autoreload failures.","orf","felixxm"
django/django,11179,"Fixed #30330 -- Fixed setting of primary key to None during fast-delete.","apollo13","felixxm"
django/django,11185,"Fixed #30339 -- Made Model.delete(keep_parents=True) preserves nested parent reverse relationships.","december1981","felixxm"
django/django,11194,"Fixed #29352 -- Allowed specifying a Feed language.","rixx","felixxm"
django/django,11205,"Fixed #30325 -- Fixed inconsistent count()/exists() behavior on reverse M2M relations with custom managers.","rixx","felixxm"
django/django,11206,"Fixed #30363 -- Do not use exponential notation for small decimal num…","sjoerdjob","apollo13"
django/django,11211,"Fixed #30343 -- Fixed prefetch_related() for GenericForeignKey when PK of related field is UUIDField.","felixxm","felixxm"
django/django,11214,"Fixed #30350 -- Prevented recreation of migration for operations with a range object.","apollo13","felixxm"
django/django,11216,"Fixed #28604 -- Prevented ManifestStaticFilesStorage from leaving intermediate files.","n6g7","felixxm"
django/django,11234,"Fixed #30368 -- Fixed prefetch_related() for GenericForeignKey when PK is also a FK.","v-do","felixxm"
django/django,11239,"Fixed #30370 -- Added dbshell support for client TLS certificates on PostgreSQL.","oleh-mykytyuk","felixxm"
django/django,11244,"Fixed #30342 -- Removed a system check for LANGUAGES_BIDI setting.","matthiask","felixxm"
django/django,11260,"Fixed #30388 -- Made inspectdb generate OneToOneFields rather than ForeignKey(unique/primary_key=True).","scop","felixxm"
django/django,11265,"Fixed #30349 -- Fixed QuerySet.exclude() on FilteredRelation.","xmeowmeowx","felixxm"
django/django,11270,"Fixed #30393 -- Added validation of startapp's directory option.","MyungSeKyo","felixxm"
django/django,11276,"Fixed #30399 -- Changed django.utils.html.escape()/urlize() to use html.escape()/unescape().","jdufresne","carltongibson"
django/django,11278,"Fixed #30396 -- Added system checks for uniqueness of indexes and constraints names.","cansarigol","felixxm"
django/django,11279,"Fixed #30397 -- Added app_label/class interpolation for names of indexes and constraints.","cansarigol","felixxm"
django/django,11281,"Fixed #30400 -- Improved typography of user facing strings.","jdufresne","felixxm"
django/django,11292,"Fixed #30418 -- Added --skip-checks argument to management commands.","jdufresne","felixxm"
django/django,11294,"Fixed #20122 -- Made pluralize template filter return '' on invalid input.","rixx","felixxm"
django/django,11298,"Fixed #30421 -- Allowed symmetrical intermediate table for self-referential ManyToManyField.","nadege","felixxm"
django/django,11299,"Fixed #30412 -- Fixed crash when adding check constraints with OR'ed condition on Oracle and SQLite.","cansarigol","felixxm"
django/django,11323,"Fixed #29056 -- Fixed HTML5 validation of required SelectDateWidget.","hramezani","felixxm"
django/django,11333,"Fixed #29744 -- Fixed caching of URLResolver for a default URLconf.","bgw","felixxm"
django/django,11334,"Fixed #30453 -- Fixed crash of simple_tag() and inclusion_tag() when function is wrapped.","isidentical","felixxm"
django/django,11354,"Fixed #28289 -- Fixed crash of RawSQL annotations on inherited model fields.","cansarigol","felixxm"
django/django,11356,"Fixed #30436 -- Added check that on_delete is callable in ForeignKey and OneToOneField.","xmeowmeowx","felixxm"
django/django,11359,"Fixed #30446 -- Resolved Value.output_field for stdlib types. ","charettes","felixxm"
django/django,11374,"Fixed #30485 -- Fixed django.utils.http.urlencode when doseq=False.","jlubcke","carltongibson"
django/django,11377,"Fixed #30463 -- Fixed crash of deprecation message when Meta.ordering contains expressions.","ruchit2801","felixxm"
django/django,11383,"Fixed #28147 -- Fixed loss of assigned parent when saving child after parent.","xmeowmeowx","felixxm"
django/django,11389,"Fixed #28763 -- Allowed overriding the session cookie age with SessionStore.get_session_cookie_age().","hramezani","felixxm"
django/django,11396,"Fixed #26192 -- Fixed crash of ordering by constants on PostgreSQL.","felixxm","felixxm"
django/django,11399,"Fixed #30498 -- Fixed proxy class caching in lazy().","bluetech","felixxm"
django/django,11400," Fixed #30449 -- Fixed RelatedFieldListFilter/RelatedOnlyFieldListFilter to respect model's Meta.ordering.","zeyneloz","felixxm"
django/django,11405,"Fixed #30501 -- Preventing QuerySet.reverse() from mutating expressions in QuerySet.order_by and Meta.ordering.","felixxm","felixxm"
django/django,11417,"Fixed #30512 -- Used email.headerregistry.parser for parsing emails in sanitize_address().","ewjoachim","carltongibson"
django/django,11422,"Fixed #30479 -- Fixed detecting changes in manage.py by autoreloader when using StatReloader.","orf","felixxm"
django/django,11423,"Fixed #30493 -- Fixed prefetch_related() for GenericRelation with different content types.","cansarigol","felixxm"
django/django,11428,"Fixed #30516 -- Fixed crash of autoreloader when re-raising exceptions with custom signature.","orf","felixxm"
django/django,11433,"Fixed #30534 -- Fixed overriding a field's default in ModelForm.cleaned_data().","RobertAKARobin","felixxm"
django/django,11446,"Fixed #30521 -- Fixed invalid HTML in default error pages. ","alej0varas","felixxm"
django/django,11451,"Fixed #30556 -- Avoided useless query and hasher call in ModelBackend.authenticate() when credentials aren't provided.","aaugustin","felixxm"
django/django,11457,"Fixed #30548 -- Improved exception when expression contains mixed types.","CruxBox","felixxm"
django/django,11477,"Fixed #26431 -- Prevented django.urls.resolve() from returning missing optional parameters.","MisterRios","felixxm"
