repo,swe_train,swe_dev,swe_test,swe_mm_dev,swe_mm_test,swe_verified_test
Automattic/wp-calypso,0,0,0,37,0,0
DataDog/integrations-core,62,0,0,0,0,0
GoogleChrome/lighthouse,0,0,0,0,54,0
JohnSnowLabs/spark-nlp,3,0,0,0,0,0
Lightning-AI/lightning,377,0,0,0,0,0
PrefectHQ/prefect,407,0,0,0,0,0
PrismJS/prism,0,0,0,0,38,0
Qiskit/qiskit,1406,0,0,0,0,0
alibaba-fusion/next,0,0,0,0,39,0
apache/airflow,473,0,0,0,0,0
apache/mxnet,5,0,0,0,0,0
astropy/astropy,0,0,95,0,0,22
bpmn-io/bpmn-js,0,0,0,0,54,0
carbon-design-system/carbon,0,0,0,0,133,0
celery/celery,250,0,0,0,0,0
chartjs/Chart.js,0,0,0,24,0,0
conan-io/conan,855,0,0,0,0,0
conda/conda,629,0,0,0,0,0
dagster-io/dagster,151,0,0,0,0,0
diegomura/react-pdf,0,0,0,11,0,0
django/django,0,0,850,0,0,231
docker/compose,597,0,0,0,0,0
eslint/eslint,0,0,0,0,11,0
explosion/spaCy,41,0,0,0,0,0
gitpython-developers/GitPython,68,0,0,0,0,0
google/jax,328,0,0,0,0,0
googleapis/google-cloud-python,926,0,0,0,0,0
grommet/grommet,0,0,0,0,20,0
highlightjs/highlight.js,0,0,0,0,39,0
huggingface/transformers,1058,0,0,0,0,0
ipython/ipython,850,0,0,0,0,0
jupyterlab/jupyterlab,201,0,0,0,0,0
kubeflow/pipelines,14,0,0,0,0,0
markedjs/marked,0,0,0,14,0,0
marshmallow-code/marshmallow,0,9,0,0,0,0
matplotlib/matplotlib,0,0,184,0,0,34
mesonbuild/meson,954,0,0,0,0,0
mwaskom/seaborn,0,0,22,0,0,2
numpy/numpy,937,0,0,0,0,0
open-mmlab/mmdetection,111,0,0,0,0,0
openlayers/openlayers,0,0,0,0,79,0
pallets/flask,0,0,11,0,0,1
pandas-dev/pandas,5049,0,0,0,0,0
pantsbuild/pants,900,0,0,0,0,0
prettier/prettier,0,0,0,0,13,0
processing/p5.js,0,0,0,16,0,0
psf/requests,0,0,44,0,0,8
pvlib/pvlib-python,0,63,0,0,0,0
pyca/cryptography,344,0,0,0,0,0
pydata/xarray,0,0,110,0,0,22
pydicom/pydicom,0,56,0,0,0,0
pylint-dev/astroid,0,31,0,0,0,0
pylint-dev/pylint,0,0,57,0,0,10
pypa/pip,686,0,0,0,0,0
pytest-dev/pytest,0,0,119,0,0,19
python/typeshed,5,0,0,0,0,0
pyvista/pyvista,0,16,0,0,0,0
quarto-dev/quarto-cli,0,0,0,0,24,0
ray-project/ray,342,0,0,0,0,0
scikit-learn/scikit-learn,0,0,229,0,0,32
scipy/scipy,101,0,0,0,0,0
scratchfoundation/scratch-gui,0,0,0,0,6,0
sphinx-doc/sphinx,0,0,187,0,0,44
sqlfluff/sqlfluff,0,50,0,0,0,0
sympy/sympy,0,0,386,0,0,75
tensorflow/models,50,0,0,0,0,0
tiangolo/fastapi,28,0,0,0,0,0
twisted/twisted,74,0,0,0,0,0
wagtail/wagtail,414,0,0,0,0,0
ytdl-org/youtube-dl,312,0,0,0,0,0
