version,release_date,eol_date
0.1.0,2018-12-08T08:14:13.000Z,2019-02-08T12:10:15.000Z
0.2.0,2019-02-08T12:10:15.000Z,2019-02-12T19:06:39.000Z
0.3.0,2019-02-12T19:06:39.000Z,2019-02-14T19:05:49.000Z
0.4.0,2019-02-14T19:05:49.000Z,2019-02-16T13:10:39.000Z
0.5.0,2019-02-16T13:10:39.000Z,2019-02-19T17:29:02.000Z
0.6.0,2019-02-19T17:29:02.000Z,2019-03-03T17:09:38.000Z
0.7.0,2019-03-03T17:09:38.000Z,2019-03-16T17:28:18.000Z
0.8.0,2019-03-16T17:28:18.000Z,2019-03-22T12:33:46.000Z
0.9.0,2019-03-22T12:33:46.000Z,2019-03-24T19:40:57.000Z
0.10.0,2019-03-24T19:40:57.000Z,2019-04-03T11:54:35.000Z
0.11.0,2019-04-03T11:54:35.000Z,2019-04-05T10:40:17.000Z
0.12.0,2019-04-05T10:40:17.000Z,2019-04-09T19:44:40.000Z
0.13.0,2019-04-09T19:44:40.000Z,2019-04-12T17:59:22.000Z
0.14.0,2019-04-12T17:59:22.000Z,2019-04-14T18:15:40.000Z
0.15.0,2019-04-14T18:15:40.000Z,2019-04-16T19:30:45.000Z
0.16.0,2019-04-16T19:30:45.000Z,2019-04-20T18:20:22.000Z
0.17.0,2019-04-20T18:20:22.000Z,2019-04-22T17:13:15.000Z
0.18.0,2019-04-22T17:13:15.000Z,2019-04-26T10:13:53.000Z
0.19.0,2019-04-26T10:13:53.000Z,2019-04-27T13:56:59.000Z
0.20.0,2019-04-27T13:56:59.000Z,2019-05-15T11:00:45.000Z
0.21.0,2019-05-15T11:00:45.000Z,2019-05-16T14:13:58.000Z
0.22.0,2019-05-16T14:13:58.000Z,2019-05-21T19:30:42.000Z
0.23.0,2019-05-21T19:30:42.000Z,2019-05-24T18:52:59.000Z
0.24.0,2019-05-24T18:52:59.000Z,2019-05-27T16:36:25.000Z
0.25.0,2019-05-27T16:36:25.000Z,2019-05-29T15:33:35.000Z
0.26.0,2019-05-29T15:33:35.000Z,2019-05-30T14:01:02.000Z
0.27.0,2019-05-30T14:01:02.000Z,2019-06-05T17:23:30.000Z
0.28.0,2019-06-05T17:23:30.000Z,2019-06-06T10:44:26.000Z
0.29.0,2019-06-06T10:44:26.000Z,2019-06-20T10:39:18.000Z
0.30.0,2019-06-20T10:39:18.000Z,2019-06-28T15:14:37.000Z
0.31.0,2019-06-28T15:14:37.000Z,2019-07-12T23:37:16.000Z
0.32.0,2019-07-12T23:37:16.000Z,2019-07-13T00:08:32.000Z
0.33.0,2019-07-13T00:08:32.000Z,2019-08-06T12:28:04.000Z
0.34.0,2019-08-06T12:28:04.000Z,2019-08-08T12:26:23.000Z
0.35.0,2019-08-08T12:26:23.000Z,2019-08-26T13:36:43.000Z
0.36.0,2019-08-26T13:36:43.000Z,2019-08-31T00:17:01.000Z
0.37.0,2019-08-31T00:17:01.000Z,2019-08-31T01:46:57.000Z
0.38.0,2019-08-31T01:46:57.000Z,2019-09-29T22:24:12.000Z
0.39.0,2019-09-29T22:24:12.000Z,2019-10-04T20:44:27.000Z
0.40.0,2019-10-04T20:44:27.000Z,2019-10-07T12:01:25.000Z
0.41.0,2019-10-07T12:01:25.000Z,2019-10-09T18:34:08.000Z
0.42.0,2019-10-09T18:34:08.000Z,2019-11-24T18:00:42.000Z
0.43.0,2019-11-24T18:00:42.000Z,2019-11-27T21:29:34.000Z
0.44.0,2019-11-27T21:29:34.000Z,2019-12-11T17:11:43.000Z
0.45.0,2019-12-11T17:11:43.000Z,2020-01-08T22:37:23.000Z
0.46.0,2020-01-08T22:37:23.000Z,2020-01-18T16:19:08.000Z
0.47.0,2020-01-18T16:19:08.000Z,2020-02-04T04:53:45.000Z
0.48.0,2020-02-04T04:53:45.000Z,2020-02-16T20:21:34.000Z
0.49.0,2020-02-16T20:21:34.000Z,2020-02-29T20:55:50.000Z
0.50.0,2020-02-29T20:55:50.000Z,2020-03-01T21:09:45.000Z
0.51.0,2020-03-01T21:09:45.000Z,2020-03-01T21:40:36.000Z
0.52.0,2020-03-01T21:40:36.000Z,2020-03-27T16:59:14.000Z
0.53.0,2020-03-27T16:59:14.000Z,2020-04-05T14:55:52.000Z
0.54.0,2020-04-05T14:55:52.000Z,2020-05-23T14:10:51.000Z
0.55.0,2020-05-23T14:10:51.000Z,2020-06-11T22:33:46.000Z
0.56.0,2020-06-11T22:33:46.000Z,2020-06-13T21:16:09.000Z
0.57.0,2020-06-13T21:16:09.000Z,2020-06-15T11:21:13.000Z
0.58.0,2020-06-15T11:21:13.000Z,2020-07-10T18:45:59.000Z
0.59.0,2020-07-10T18:45:59.000Z,2020-07-20T16:32:14.000Z
0.60.0,2020-07-20T16:32:14.000Z,2020-08-09T20:40:09.000Z
0.61.0,2020-08-09T20:40:09.000Z,2020-11-29T18:45:23.000Z
0.62.0,2020-11-29T18:45:23.000Z,2020-12-20T19:21:26.000Z
0.63.0,2020-12-20T19:21:26.000Z,2021-05-07T08:25:24.000Z
0.64.0,2021-05-07T08:25:24.000Z,2021-05-10T15:49:28.000Z
0.65.0,2021-05-10T15:49:28.000Z,2021-07-04T19:03:34.000Z
0.66.0,2021-07-04T19:03:34.000Z,2021-07-21T18:04:52.000Z
0.67.0,2021-07-21T18:04:52.000Z,2021-07-29T21:07:40.000Z
0.68.0,2021-07-29T21:07:40.000Z,2021-10-07T16:50:54.000Z
0.69.0,2021-10-07T16:50:54.000Z,2021-10-07T17:40:53.000Z
0.70.0,2021-10-07T17:40:53.000Z,2022-01-07T17:12:19.000Z
0.71.0,2022-01-07T17:12:19.000Z,2022-01-16T20:12:59.000Z
0.72.0,2022-01-16T20:12:59.000Z,2022-01-23T22:44:12.000Z
0.73.0,2022-01-23T22:44:12.000Z,2022-02-17T16:12:57.000Z
0.74.0,2022-02-17T16:12:57.000Z,2022-03-04T22:12:46.000Z
0.75.0,2022-03-04T22:12:46.000Z,2022-05-05T22:29:34.000Z
0.76.0,2022-05-05T22:29:34.000Z,2022-05-10T01:43:56.000Z
0.77.0,2022-05-10T01:43:56.000Z,2022-05-14T20:02:44.000Z
0.78.0,2022-05-14T20:02:44.000Z,2022-07-14T17:39:26.000Z
0.79.0,2022-07-14T17:39:26.000Z,2022-08-23T14:18:27.000Z
0.80.0,2022-08-23T14:18:27.000Z,2022-08-26T15:22:25.000Z
0.81.0,2022-08-26T15:22:25.000Z,2022-09-04T19:36:45.000Z
0.82.0,2022-09-04T19:36:45.000Z,2022-09-11T16:28:44.000Z
0.83.0,2022-09-11T16:28:44.000Z,2022-09-14T18:44:46.000Z
0.84.0,2022-09-14T18:44:46.000Z,2022-09-15T14:00:58.000Z
0.85.0,2022-09-15T14:00:58.000Z,2022-11-03T21:25:16.000Z
0.86.0,2022-11-03T21:25:16.000Z,2022-11-13T21:42:04.000Z
0.87.0,2022-11-13T21:42:04.000Z,2022-11-27T14:54:57.000Z
0.88.0,2022-11-27T14:54:57.000Z,2023-01-07T17:23:31.000Z
0.89.0,2023-01-07T17:23:31.000Z,2023-02-08T10:34:56.000Z
0.90.0,2023-02-08T10:34:56.000Z,2023-02-10T14:37:52.000Z
0.91.0,2023-02-10T14:37:52.000Z,2023-02-14T09:23:14.000Z
0.92.0,2023-02-14T09:23:14.000Z,2023-03-07T16:12:14.000Z
0.93.0,2023-03-07T16:12:14.000Z,2023-03-10T19:11:04.000Z
0.94.0,2023-03-10T19:11:04.000Z,2023-03-18T19:44:50.000Z
0.95.0,2023-03-18T19:44:50.000Z,2023-06-03T14:36:58.000Z
0.96.0,2023-06-03T14:36:58.000Z,2023-06-11T22:55:42.000Z
0.97.0,2023-06-11T22:55:42.000Z,2023-06-22T18:09:10.000Z
0.98.0,2023-06-22T18:09:10.000Z,2023-06-30T19:03:01.000Z
0.99.0,2023-06-30T19:03:01.000Z,2023-07-07T17:33:17.000Z
0.100.0,2023-07-07T17:33:17.000Z,2023-08-04T21:05:18.000Z
0.101.0,2023-08-04T21:05:18.000Z,2023-08-25T19:23:27.000Z
0.102.0,2023-08-25T19:23:27.000Z,2023-08-26T18:15:37.000Z
0.103.0,2023-08-26T18:15:37.000Z,2023-10-18T12:53:38.000Z
0.104.0,2023-10-18T12:53:38.000Z,2023-12-12T00:39:07.000Z
0.105.0,2023-12-12T00:39:07.000Z,2023-12-25T18:07:19.000Z
0.106.0,2023-12-25T18:07:19.000Z,2023-12-26T19:10:38.000Z
0.107.0,2023-12-26T19:10:38.000Z,2023-12-26T20:25:32.000Z
0.108.0,2023-12-26T20:25:32.000Z,2024-01-11T15:36:31.000Z
0.109.0,2024-01-11T15:36:31.000Z,2024-02-24T23:21:47.000Z
0.110.0,2024-02-24T23:21:47.000Z,2024-05-03T00:21:41.000Z
0.111.0,2024-05-03T00:21:41.000Z,2024-08-02T06:13:58.000Z
0.112.0,2024-08-02T06:13:58.000Z,2024-09-05T15:32:56.000Z
0.113.0,2024-09-05T15:32:56.000Z,2024-09-06T17:43:13.000Z
0.114.0,2024-09-06T17:43:13.000Z,2024-09-17T19:18:10.000Z
0.115.0,2024-09-17T19:18:10.000Z,2099-12-31T23:59:59.000Z
