day,supported_downloads,total_downloads,supported_percentage
2018-12-09 00:00:00,87,87,100.0
2018-12-10 00:00:00,2300,2300,100.0
2018-12-11 00:00:00,867,867,100.0
2018-12-12 00:00:00,225,225,100.0
2018-12-13 00:00:00,196,196,100.0
2018-12-14 00:00:00,37,37,100.0
2018-12-15 00:00:00,137,137,100.0
2018-12-16 00:00:00,33,33,100.0
2018-12-17 00:00:00,93,93,100.0
2018-12-18 00:00:00,63,63,100.0
2018-12-19 00:00:00,81,81,100.0
2018-12-20 00:00:00,87,87,100.0
2018-12-21 00:00:00,672,672,100.0
2018-12-22 00:00:00,256,256,100.0
2018-12-23 00:00:00,49,49,100.0
2018-12-24 00:00:00,657,657,100.0
2018-12-25 00:00:00,188,188,100.0
2018-12-26 00:00:00,33,33,100.0
2018-12-27 00:00:00,38,38,100.0
2018-12-28 00:00:00,359,359,100.0
2018-12-29 00:00:00,163,163,100.0
2018-12-30 00:00:00,337,337,100.0
2018-12-31 00:00:00,130,130,100.0
2019-01-01 00:00:00,108,108,100.0
2019-01-02 00:00:00,187,187,100.0
2019-01-03 00:00:00,179,179,100.0
2019-01-04 00:00:00,225,225,100.0
2019-01-05 00:00:00,378,378,100.0
2019-01-06 00:00:00,252,252,100.0
2019-01-07 00:00:00,204,204,100.0
2019-01-08 00:00:00,145,145,100.0
2019-01-09 00:00:00,230,230,100.0
2019-01-10 00:00:00,162,162,100.0
2019-01-11 00:00:00,63,63,100.0
2019-01-12 00:00:00,106,106,100.0
2019-01-13 00:00:00,116,116,100.0
2019-01-14 00:00:00,57,57,100.0
2019-01-15 00:00:00,83,83,100.0
2019-01-16 00:00:00,131,131,100.0
2019-01-17 00:00:00,8,8,100.0
2019-01-18 00:00:00,158,158,100.0
2019-01-19 00:00:00,214,214,100.0
2019-01-20 00:00:00,77,77,100.0
2019-01-21 00:00:00,93,93,100.0
2019-01-22 00:00:00,123,123,100.0
2019-01-23 00:00:00,412,412,100.0
2019-01-24 00:00:00,199,199,100.0
2019-01-25 00:00:00,218,218,100.0
2019-01-26 00:00:00,234,234,100.0
2019-01-27 00:00:00,79,79,100.0
2019-01-28 00:00:00,146,146,100.0
2019-01-29 00:00:00,146,146,100.0
2019-01-30 00:00:00,270,270,100.0
2019-01-31 00:00:00,209,209,100.0
2019-02-01 00:00:00,462,462,100.0
2019-02-02 00:00:00,195,195,100.0
2019-02-03 00:00:00,90,90,100.0
2019-02-04 00:00:00,155,155,100.0
2019-02-05 00:00:00,251,251,100.0
2019-02-06 00:00:00,91,91,100.0
2019-02-07 00:00:00,268,268,100.0
2019-02-08 00:00:00,302,602,50.17
2019-02-09 00:00:00,141,327,43.12
2019-02-10 00:00:00,65,117,55.56
2019-02-11 00:00:00,99,262,37.79
2019-02-12 00:00:00,430,861,49.94
2019-02-13 00:00:00,246,465,52.9
2019-02-14 00:00:00,112,628,17.83
2019-02-15 00:00:00,197,423,46.57
2019-02-16 00:00:00,42,429,9.79
2019-02-17 00:00:00,160,206,77.67
2019-02-18 00:00:00,359,492,72.97
2019-02-19 00:00:00,289,739,39.11
2019-02-20 00:00:00,473,655,72.21
2019-02-21 00:00:00,306,463,66.09
2019-02-22 00:00:00,148,363,40.77
2019-02-23 00:00:00,402,489,82.21
2019-02-24 00:00:00,394,424,92.92
2019-02-25 00:00:00,262,539,48.61
2019-02-26 00:00:00,229,470,48.72
2019-02-27 00:00:00,224,693,32.32
2019-02-28 00:00:00,162,411,39.42
2019-03-01 00:00:00,94,119,78.99
2019-03-02 00:00:00,277,553,50.09
2019-03-03 00:00:00,209,636,32.86
2019-03-04 00:00:00,581,1040,55.87
2019-03-05 00:00:00,216,540,40.0
2019-03-06 00:00:00,165,566,29.15
2019-03-07 00:00:00,140,429,32.63
2019-03-08 00:00:00,102,338,30.18
2019-03-09 00:00:00,92,283,32.51
2019-03-10 00:00:00,61,189,32.28
2019-03-11 00:00:00,129,343,37.61
2019-03-12 00:00:00,127,260,48.85
2019-03-13 00:00:00,169,587,28.79
2019-03-14 00:00:00,174,349,49.86
2019-03-15 00:00:00,161,287,56.1
2019-03-16 00:00:00,100,526,19.01
2019-03-17 00:00:00,159,224,70.98
2019-03-18 00:00:00,151,272,55.51
2019-03-19 00:00:00,200,407,49.14
2019-03-20 00:00:00,153,515,29.71
2019-03-21 00:00:00,269,480,56.04
2019-03-22 00:00:00,156,2430,6.42
2019-03-23 00:00:00,3211,3402,94.39
2019-03-24 00:00:00,1864,2751,67.76
2019-03-25 00:00:00,2347,2850,82.35
2019-03-26 00:00:00,1906,2344,81.31
2019-03-27 00:00:00,1656,2138,77.46
2019-03-28 00:00:00,2017,2409,83.73
2019-03-29 00:00:00,2101,2447,85.86
2019-03-30 00:00:00,1666,1777,93.75
2019-03-31 00:00:00,1647,1877,87.75
2019-04-01 00:00:00,2326,2782,83.61
2019-04-02 00:00:00,2431,2902,83.77
2019-04-03 00:00:00,1139,3118,36.53
2019-04-04 00:00:00,1753,2148,81.61
2019-04-05 00:00:00,1061,3046,34.83
2019-04-06 00:00:00,2378,2729,87.14
2019-04-07 00:00:00,2857,3000,95.23
2019-04-08 00:00:00,2665,2999,88.86
2019-04-09 00:00:00,1632,2554,63.9
2019-04-10 00:00:00,2119,2472,85.72
2019-04-11 00:00:00,2609,3162,82.51
2019-04-12 00:00:00,2027,3271,61.97
2019-04-13 00:00:00,731,928,78.77
2019-04-14 00:00:00,1319,2193,60.15
2019-04-15 00:00:00,1429,1928,74.12
2019-04-16 00:00:00,1860,3275,56.79
2019-04-17 00:00:00,2724,3276,83.15
2019-04-18 00:00:00,2478,2935,84.43
2019-04-19 00:00:00,2946,3165,93.08
2019-04-20 00:00:00,2238,3205,69.83
2019-04-21 00:00:00,2979,3205,92.95
2019-04-22 00:00:00,2060,3140,65.61
2019-04-23 00:00:00,2997,3892,77.0
2019-04-24 00:00:00,3039,3686,82.45
2019-04-25 00:00:00,441,462,95.45
2019-04-28 00:00:00,513,537,95.53
2019-04-29 00:00:00,2618,3374,77.59
2019-04-30 00:00:00,2795,3448,81.06
2019-05-01 00:00:00,2793,3191,87.53
2019-05-02 00:00:00,2808,3284,85.51
2019-05-03 00:00:00,3035,3679,82.5
2019-05-04 00:00:00,2743,2951,92.95
2019-05-05 00:00:00,2783,2925,95.15
2019-05-06 00:00:00,2852,3251,87.73
2019-05-07 00:00:00,2837,3385,83.81
2019-05-08 00:00:00,2789,3455,80.72
2019-05-09 00:00:00,2744,3257,84.25
2019-05-10 00:00:00,2678,3410,78.53
2019-05-11 00:00:00,2374,2679,88.62
2019-05-12 00:00:00,2388,2602,91.78
2019-05-13 00:00:00,2637,3139,84.01
2019-05-14 00:00:00,2575,3071,83.85
2019-05-15 00:00:00,1273,2943,43.26
2019-05-16 00:00:00,1274,3475,36.66
2019-05-17 00:00:00,1737,2778,62.53
2019-05-18 00:00:00,1644,2011,81.75
2019-05-19 00:00:00,1559,1857,83.95
2019-05-20 00:00:00,1815,2864,63.37
2019-05-21 00:00:00,1590,2933,54.21
2019-05-22 00:00:00,694,1951,35.57
2019-05-23 00:00:00,428,1216,35.2
2019-05-24 00:00:00,327,1469,22.26
2019-05-25 00:00:00,217,553,39.24
2019-05-26 00:00:00,206,434,47.47
2019-05-27 00:00:00,447,1519,29.43
2019-05-28 00:00:00,623,1636,38.08
2019-05-29 00:00:00,378,1897,19.93
2019-05-30 00:00:00,314,1706,18.41
2019-05-31 00:00:00,584,1902,30.7
2019-06-01 00:00:00,223,1181,18.88
2019-06-02 00:00:00,199,673,29.57
2019-06-03 00:00:00,799,1397,57.19
2019-06-04 00:00:00,725,1377,52.65
2019-06-05 00:00:00,563,1724,32.66
2019-06-06 00:00:00,333,2120,15.71
2019-06-07 00:00:00,597,1475,40.47
2019-06-08 00:00:00,165,486,33.95
2019-06-09 00:00:00,258,602,42.86
2019-06-10 00:00:00,430,1369,31.41
2019-06-11 00:00:00,571,1765,32.35
2019-06-12 00:00:00,593,2054,28.87
2019-06-13 00:00:00,885,2507,35.3
2019-06-14 00:00:00,787,1744,45.13
2019-06-15 00:00:00,269,626,42.97
2019-06-16 00:00:00,228,728,31.32
2019-06-17 00:00:00,810,1884,42.99
2019-06-18 00:00:00,926,2015,45.96
2019-06-19 00:00:00,752,1495,50.3
2019-06-20 00:00:00,439,2053,21.38
2019-06-21 00:00:00,604,1387,43.55
2019-06-22 00:00:00,271,785,34.52
2019-06-23 00:00:00,288,716,40.22
2019-06-24 00:00:00,619,1347,45.95
2019-06-25 00:00:00,850,1843,46.12
2019-06-26 00:00:00,889,1619,54.91
2019-06-27 00:00:00,867,1700,51.0
2019-06-28 00:00:00,836,2034,41.1
2019-06-29 00:00:00,326,718,45.4
2019-06-30 00:00:00,248,576,43.06
2019-07-01 00:00:00,620,2009,30.86
2019-07-02 00:00:00,687,1776,38.68
2019-07-03 00:00:00,714,2297,31.08
2019-07-04 00:00:00,611,1505,40.6
2019-07-05 00:00:00,611,1184,51.6
2019-07-06 00:00:00,185,493,37.53
2019-07-07 00:00:00,243,661,36.76
2019-07-08 00:00:00,732,1526,47.97
2019-07-09 00:00:00,628,1565,40.13
2019-07-10 00:00:00,719,1679,42.82
2019-07-11 00:00:00,788,2179,36.16
2019-07-12 00:00:00,656,1622,40.44
2019-07-13 00:00:00,220,1261,17.45
2019-07-14 00:00:00,201,545,36.88
2019-07-15 00:00:00,798,1957,40.78
2019-07-16 00:00:00,756,1938,39.01
2019-07-17 00:00:00,710,2273,31.24
2019-07-18 00:00:00,818,2202,37.15
2019-07-19 00:00:00,788,1958,40.25
2019-07-20 00:00:00,233,867,26.87
2019-07-21 00:00:00,198,254,77.95
2019-07-22 00:00:00,999,1993,50.13
2019-07-23 00:00:00,1020,2305,44.25
2019-07-24 00:00:00,1136,1912,59.41
2019-07-25 00:00:00,1152,1781,64.68
2019-07-26 00:00:00,1251,2055,60.88
2019-07-27 00:00:00,291,503,57.85
2019-07-28 00:00:00,404,512,78.91
2019-07-29 00:00:00,1321,2030,65.07
2019-07-30 00:00:00,1272,2194,57.98
2019-07-31 00:00:00,1445,2801,51.59
2019-08-01 00:00:00,1424,2686,53.02
2019-08-02 00:00:00,1070,2328,45.96
2019-08-03 00:00:00,293,654,44.8
2019-08-04 00:00:00,411,614,66.94
2019-08-05 00:00:00,1126,2038,55.25
2019-08-06 00:00:00,853,2724,31.31
2019-08-07 00:00:00,990,2735,36.2
2019-08-08 00:00:00,441,2446,18.03
2019-08-09 00:00:00,1082,3041,35.58
2019-08-10 00:00:00,379,899,42.16
2019-08-11 00:00:00,268,497,53.92
2019-08-12 00:00:00,924,2359,39.17
2019-08-13 00:00:00,898,2074,43.3
2019-08-14 00:00:00,881,2011,43.81
2019-08-15 00:00:00,879,2282,38.52
2019-08-16 00:00:00,941,2043,46.06
2019-08-17 00:00:00,282,581,48.54
2019-08-18 00:00:00,365,554,65.88
2019-08-19 00:00:00,1070,1996,53.61
2019-08-20 00:00:00,1100,2084,52.78
2019-08-21 00:00:00,1229,2837,43.32
2019-08-22 00:00:00,1296,2543,50.96
2019-08-23 00:00:00,1232,2006,61.42
2019-08-24 00:00:00,433,912,47.48
2019-08-25 00:00:00,364,772,47.15
2019-08-26 00:00:00,888,2764,32.13
2019-08-27 00:00:00,991,2471,40.11
2019-08-28 00:00:00,1291,3329,38.78
2019-08-29 00:00:00,1054,2626,40.14
2019-08-30 00:00:00,886,2183,40.59
2019-08-31 00:00:00,84,1292,6.5
2019-09-01 00:00:00,634,881,71.96
2019-09-02 00:00:00,1020,2407,42.38
2019-09-03 00:00:00,1013,2668,37.97
2019-09-04 00:00:00,1240,2814,44.07
