date,downloads
2025-03-28,377978
2025-03-27,435773
2025-03-26,null
2025-03-24,284601
2025-03-23,98268
2025-03-22,211861
2025-03-21,348475
2025-03-20,400963
2025-03-19,418458
2025-03-18,417836
2025-03-17,260133
2025-03-16,116667
2025-03-15,249080
2025-03-14,416362
2025-03-13,473740
2025-03-12,530692
2025-03-11,470416
2025-03-10,247495
2025-03-09,92282
2025-03-08,224027
2025-03-07,426004
2025-03-06,437250
2025-03-05,424998
2025-03-04,368448
2025-03-03,217494
2025-03-02,72983
2025-03-01,181835
2025-02-28,358032
2025-02-27,370868
2025-02-26,386413
2025-02-25,408228
2025-02-24,256465
2025-02-23,99636
2025-02-22,197714
2025-02-21,421214
2025-02-20,433457
2025-02-19,425440
2025-02-18,341868
2025-02-17,258426
2025-02-16,75846
2025-02-15,171004
2025-02-14,370170
2025-02-13,384128
2025-02-12,402694
2025-02-11,377262
2025-02-10,261246
2025-02-09,90357
2025-02-08,208475
2025-02-07,394663
2025-02-06,383922
2025-02-05,410515
2025-02-04,394346
2025-02-03,251663
2025-02-02,86726
2025-02-01,187370
2025-01-31,361336
2025-01-30,348293
2025-01-29,378410
2025-01-28,358662
2025-01-27,225635
2025-01-26,70935
2025-01-25,182963
2025-01-24,325507
2025-01-23,326069
2025-01-22,427059
2025-01-21,320639
2025-01-20,224700
2025-01-19,72571
2025-01-18,169154
2025-01-17,329027
2025-01-16,443693
2025-01-15,405188
2025-01-14,334168
2025-01-13,211465
2025-01-12,73909
2025-01-11,182304
2025-01-10,332458
2025-01-09,322642
2025-01-08,369140
2025-01-07,341111
2025-01-06,202391
2025-01-05,69919
2025-01-04,133100
2025-01-03,221862
2025-01-02,147066
2025-01-01,121715
2024-12-31,168944
2024-12-30,141069
2024-12-29,70278
2024-12-28,100434
2024-12-27,169790
2024-12-26,148493
2024-12-25,129212
2024-12-24,210095
2024-12-23,179842
2024-12-22,71029
2024-12-21,157535
2024-12-20,306093
2024-12-19,353837
2024-12-18,360744
2024-12-17,357606
2024-12-16,272051
2024-12-15,79127
2024-12-14,197436
2024-12-13,338134
2024-12-12,414714
2024-12-11,403156
2024-12-10,340105
2024-12-09,244648
2024-12-08,71799
2024-12-07,160663
2024-12-06,386379
2024-12-05,350571
2024-12-04,359159
