version,release_date,eol_date,lts
5.2,2025-04-04T13:08:06.000Z,2028-04-30,LTS
5.1,2024-08-07T13:33:52.000Z,2025-12-31,
5.0,2023-12-04T13:12:41.000Z,2025-04-02,
4.2,2023-04-03T08:36:11.000Z,2026-04-30,LTS
4.1,2022-08-03T08:40:20.000Z,2023-12-01,
4.0,2021-12-07T09:19:58.000Z,2023-04-01,
3.2,2021-04-06T09:33:15.000Z,2024-04-01,LTS
3.1,2020-08-04T08:07:00.000Z,2021-12-07,
3.0,2019-12-02T11:13:11.000Z,2021-04-06,
2.2,2019-04-01T12:47:35.000Z,2022-04-11,LTS
2.1,2018-08-01T14:11:27.000Z,2019-12-02,
2.0,2017-12-02T15:11:49.000Z,2019-04-01,
1.11,2017-04-04T15:59:30.000Z,2020-04-01,LTS
1.10,2016-08-01T18:32:07.000Z,2017-12-02,
1.9,2015-12-01T23:55:38.000Z,2017-04-04,
1.8,2015-04-01T20:12:37.000Z,2018-04-01,LTS
1.7,2014-09-02T21:09:27.000Z,2015-12-01,
1.6,2013-11-06T15:01:02.000Z,2015-04-01,
1.5,2013-02-26T19:30:37.000Z,2014-09-02,
1.4,2012-03-23T18:00:23.000Z,2015-10-01,LTS
1.3,2011-03-23T06:09:12.000Z,2013-02-26,
1.2,2010-05-17T20:04:28.000Z,,
1.1,2009-07-29T00:00:01.000Z,,
1.0,2008-09-03T00:00:01.000Z,,
