project,downloads_count
django,25287586
posthog,16461637
djangorestframework,13763067
django-cors-headers,10822297
django-filter,7928526
django-extensions,7147754
django-redis,6060918
django-storages,5995459
drf-spectacular,5615571
django-debug-toolbar,4676115
djangorestframework-simplejwt,4244805
django-stubs-ext,4150426
django-timezone-field,4137474
django-environ,3765634
django-stubs,3761303
django-celery-beat,3654519
dj-database-url,3585598
django-model-utils,3018481
django-celery-results,2937091
django-phonenumber-field,2622174
drf-yasg,2480263
django-appconf,2430313
django-oauth-toolkit,2254169
django-ipware,2217123
djangorestframework-stubs,2139735
djlint,2079919
django-simple-history,2011681
django-ratelimit,1928232
django-prometheus,1910419
django-allauth,1893479
django-silk,1882781
django-otp,1838937
django-csp,1768622
django-js-asset,1750409
django-import-export,1745097
django-health-check,1695407
django-crispy-forms,1659888
django-anymail,1323557
django-structlog,1319347
django-countries,1274083
django-formtools,1255075
djangorestframework-csv,1203250
django-picklefield,1173837
django-polymorphic,1154796
django-compressor,1147605
django-axes,1136840
django-taggit,1042477
django-ninja,1008880
django-mysql,1006204
djangorestframework-api-key,1002806
drf-nested-routers,976803
django-widget-tweaks,936402
django-waffle,932718
django-hijack,922608
django-ses,909791
django-reversion,899496
django-two-factor-auth,883741
drf-spectacular-sidecar,878881
django-vite,849300
django-mptt,846741
djangorestframework-dataclasses,846732
django-mathfilters,827396
django-object-actions,826409
django-tables2,797032
django-linear-migrations,776856
django-deprecate-fields,769142
django-admin-rangefilter,736731
django-admin-sortable2,717999
django-treebeard,708765
drf-extensions,686265
django-pgactivity,684035
django-pglock,679543
django-pydantic-field,649932
django-constance,649050
django-auditlog,634986
django-querycount,616454
django-webpack-loader,612350
django-pgtrigger,602563
django-choices,598065
django-safedelete,592639
django-admin-list-filter-dropdown,578450
django-scim2,578315
django-rest-polymorphic,576507
django-admin-inline-paginator,565115
django-loginas,554329
django-localflavor,542211
django-htmx,540440
django-migration-linter,530746
django-dotenv,510355
django-guardian,505166
django-rq,503296
django-modeltranslation,502547
django-colorfield,500417
django-fernet-fields-v2,488803
django-ckeditor,476858
django-libsass,476303
django-pgmigrate,472149
django-coverage-plugin,460844
django-json-widget,460053
django-nested-admin,457983
django-statsd,447872
drf-exceptions-hog,444463
django-types,439162
django-allow-cidr,439046
dj-rest-auth,437945
django-tenants,435940
django-postgres-copy,427267
django-auth-ldap,423513
django-money,420080
django-fake-model,413891
wagtail,403094
django-adminplus,401818
django-cte,400146
django-fsm,398846
django-unfold,395449
django-modelcluster,393455
django-tinymce,391070
django-cleanup,384644
djangorestframework-role-filters,379857
django-deprecation,378943
django-dirtyfields,377074
django-multiselectfield,376600
django-user-agents,370460
django-select2,353399
django-test-migrations,347669
django-permissionedforms,341897
django-postgres-extra,340559
django-jazzmin,340027
django-recaptcha,339749
