name,latest_release,author,home_page,project_urls,upload_time,markdown
djangocms-frontend,2.0.0,fsbraun,https://github.com/django-cms/djangocms-frontend,"[Documentation, https://djangocms-frontend.readthedocs.io,Release notes, https://github.com/django-cms/djangocms-frontend/blob/master/CHANGELOG.rst,Issues, https://github.com/django-cms/djangocms-frontend/issues,Source, https://github.com/django-cms/djangocms-frontend]",2025-03-20 21:01:53.412213 UTC,- [djangocms-frontend v2.0.0](https://github.com/django-cms/djangocms-frontend)
django-debug-toolbar,5.1.0,Rob Hudson,,"[Changelog, https://django-debug-toolbar.readthedocs.io/en/latest/changes.html,Documentation, https://django-debug-toolbar.readthedocs.io/,Download, https://pypi.org/project/django-debug-toolbar/,Homepage, https://github.com/django-commons/django-debug-toolbar,Issues, https://github.com/django-commons/django-debug-toolbar/issues,Source, https://github.com/django-commons/django-debug-toolbar]",2025-03-20 16:17:05.812814 UTC,- [django-debug-toolbar v5.1.0](https://django-debug-toolbar.readthedocs.io/en/latest/changes.html)
django-fast-treenode,2.1.4,Timur Kady,https://django-fast-treenode.readthedocs.io/,"[Homepage, https://github.com/TimurKady/django-fast-treenode,Documentation, https://django-fast-treenode.readthedocs.io/,Source, https://github.com/TimurKady/django-fast-treenode,Issues, https://github.com/TimurKady/django-fast-treenode/issues]",2025-03-19 08:44:31.417516 UTC,- [django-fast-treenode v2.1.4](https://github.com/TimurKady/django-fast-treenode)
django-csp,4.0b7,,,"[Bug Tracker, https://github.com/mozilla/django-csp/issues,Changelog, https://github.com/mozilla/django-csp/blob/main/CHANGES.md,Documentation, http://django-csp.readthedocs.org/,Homepage, http://github.com/mozilla/django-csp,Source Code, https://github.com/mozilla/django-csp]",2025-03-18 16:45:02.572004 UTC,- [django-csp v4.0b7](https://github.com/mozilla/django-csp/blob/main/CHANGES.md)
django-async-extensions,0.0.3.post1,amirreza,,"[Homepage, https://github.com/django-utils/django-async-extensions,Source, https://github.com/django-utils/django-async-extensions,Issues, https://github.com/django-utils/django-async-extensions/issues,Documentation, https://django-async-extensions.readthedocs.io/en/latest/]",2025-03-18 04:00:04.044403 UTC,- [django-async-extensions v0.0.3.post1](https://github.com/django-utils/django-async-extensions)
django-query-counter,0.4.1,,,"[Repository, https://github.com/conformist-mw/django-query-counter,Changelog, https://github.com/conformist-mw/django-query-counter/blob/master/CHANGELOG.md]",2025-03-16 18:32:11.439884 UTC,- [django-query-counter v0.4.1](https://github.com/conformist-mw/django-query-counter/blob/master/CHANGELOG.md)
django-htmx,1.23.0,,,"[Changelog, https://django-htmx.readthedocs.io/en/latest/changelog.html,Documentation, https://django-htmx.readthedocs.io/,Funding, https://adamj.eu/books/,Repository, https://github.com/adamchainz/django-htmx]",2025-03-14 16:16:00.016185 UTC,- [django-htmx v1.23.0](https://django-htmx.readthedocs.io/en/latest/changelog.html)
django-picklefield,3.3,Simon Charette,http://github.com/gintas/django-picklefield,[],2025-03-13 03:34:11.209938 UTC,- [django-picklefield v3.3](http://github.com/gintas/django-picklefield)
django-sync-env,1.0.0a1,Dan Brosnan,,[],2025-03-13 00:15:54.154302 UTC,- [django-sync-env v1.0.0a1](https://pypi.org/project/django-sync-env/)
django-render-static,3.3.0,,,"[Homepage, https://django-render-static.readthedocs.io,Documentation, https://django-render-static.readthedocs.io,Repository, https://github.com/bckohan/django-render-static,Issues, https://github.com/bckohan/django-render-static/issues,Changelog, https://django-render-static.readthedocs.io/en/stable/changelog.html,Code_of_Conduct, https://github.com/bckohan/django-render-static/blob/main/CODE_OF_CONDUCT.md]",2025-03-12 08:01:47.865225 UTC,- [django-render-static v3.3.0](https://django-render-static.readthedocs.io/en/stable/changelog.html)
drf-writable-nested,0.7.2,beda.software,http://github.com/beda-software/drf-writable-nested,[],2025-03-10 19:59:05.482231 UTC,- [drf-writable-nested v0.7.2](http://github.com/beda-software/drf-writable-nested)
django-remake-migrations,2.6.0,,,"[Bug Tracker, https://github.com/browniebroke/django-remake-migrations/issues,Changelog, https://github.com/browniebroke/django-remake-migrations/blob/main/CHANGELOG.md,documentation, https://django-remake-migrations.readthedocs.io,repository, https://github.com/browniebroke/django-remake-migrations]",2025-03-07 18:36:08.022375 UTC,- [django-remake-migrations v2.6.0](https://github.com/browniebroke/django-remake-migrations/blob/main/CHANGELOG.md)
drf-excel,2.5.3,,,"[Homepage, https://github.com/django-commons/drf-excel/,Repository, https://github.com/django-commons/drf-excel/,Documentation, https://github.com/django-commons/drf-excel/]",2025-03-07 09:18:05.839116 UTC,- [drf-excel v2.5.3](https://github.com/django-commons/drf-excel/)
django-bird,0.17.3,,,"[Documentation, https://django-bird.readthedocs.io/,Issues, https://github.com/joshuadavidthomas/django-bird/issues,Source, https://github.com/joshuadavidthomas/django-bird]",2025-03-06 23:43:45.217119 UTC,- [django-bird v0.17.3](https://github.com/joshuadavidthomas/django-bird)
django-swingtime,2.0.0,,,"[Homepage, https://github.com/dakrauth/django-swingtime]",2025-03-04 21:21:26.815587 UTC,- [django-swingtime v2.0.0](https://github.com/dakrauth/django-swingtime)
django-extended-history,1.9.4,Rob Aben,https://github.com/HealthyFridge/django-extended-history,"[Bug Tracker, https://github.com/HealthyFridge/django-extended-history/issues,repository, https://github.com/HealthyFridge/django-extended-history]",2025-03-02 05:51:56.449697 UTC,- [django-extended-history v1.9.4](https://github.com/HealthyFridge/django-extended-history)
drf-base64-binaryfield,1.2.0,Storm Heg,https://github.com/Stormheg/drf-base64-binaryfield,"[Homepage, https://github.com/Stormheg/drf-base64-binaryfield,Repository, https://github.com/Stormheg/drf-base64-binaryfield,Changelog, https://github.com/Stormheg/drf-base64-binaryfield/blob/main/CHANGELOG.md]",2025-02-27 22:16:38.109147 UTC,- [drf-base64-binaryfield v1.2.0](https://github.com/Stormheg/drf-base64-binaryfield/blob/main/CHANGELOG.md)
django-otp-webauthn,0.5.0,,,"[Changelog, https://github.com/Stormbase/django-otp-webauthn/blob/main/CHANGELOG.md,Issues, https://github.com/Stormbase/django-otp-webauthn/issues,Source, https://github.com/Stormbase/django-otp-webauthn]",2025-02-27 21:52:16.761956 UTC,- [django-otp-webauthn v0.5.0](https://github.com/Stormbase/django-otp-webauthn/blob/main/CHANGELOG.md)
django-import-export,4.3.7,,,"[Documentation, https://django-import-export.readthedocs.io/en/stable/,Repository, https://github.com/django-import-export/django-import-export,Changelog, https://github.com/django-import-export/django-import-export/blob/main/docs/changelog.rst]",2025-02-25 12:38:43.654238 UTC,- [django-import-export v4.3.7](https://github.com/django-import-export/django-import-export/blob/main/docs/changelog.rst)
django-admin-inline-paginator-plus,0.1.3,,,"[Homepage, https://github.com/DmytroLitvinov/django-admin-inline-paginator-plus,Issues, https://github.com/DmytroLitvinov/django-admin-inline-paginator-plus/issues,Changelog, https://github.com/DmytroLitvinov/django-admin-inline-paginator-plus/CHANGELOG.md]",2025-02-22 09:18:14.793497 UTC,- [django-admin-inline-paginator-plus v0.1.3](https://github.com/DmytroLitvinov/django-admin-inline-paginator-plus/CHANGELOG.md)
