pre_release,version,downloads_count
5.2,5.2b1,48507
5.2,5.2a1,61801
5.2,5.1rc1,5091
5.2,5.1b1,1061
5.2,5.1a1,1860
5.2,5.1.7,461015
5.2,5.1.6,4302597
5.2,5.1.5,3779883
5.2,5.1.4,1054400
5.2,5.1.3,508141
5.2,5.1.2,343958
5.2,5.1.1,414236
5.2,5.1,252733
5.2,5.0rc1,740
5.2,5.0b1,1124
5.2,5.0a1,2228
5.2,5.0.9,219972
5.2,5.0.8,117471
5.2,5.0.7,375396
5.2,5.0.6,332206
5.2,5.0.5,8378
5.2,5.0.4,1260901
5.2,5.0.3,176221
5.2,5.0.2,118742
5.2,5.0.13,26831
5.2,5.0.12,302633
5.2,5.0.11,478353
5.2,5.0.10,178566
5.2,5.0.1,136098
5.2,5.0,135619
5.2,4.2rc1,1733
5.2,4.2b1,1031
5.2,4.2a1,2089
5.2,4.2.9,257855
5.2,4.2.8,102851
5.2,4.2.7,286851
5.2,4.2.6,135739
5.2,4.2.5,218863
5.2,4.2.4,120304
5.2,4.2.3,189463
5.2,4.2.20,181243
5.2,4.2.2,88777
5.2,4.2.19,1920196
5.2,4.2.18,2970367
5.2,4.2.17,1759565
5.2,4.2.16,1063455
5.2,4.2.15,504458
5.2,4.2.14,182633
5.2,4.2.13,245842
5.2,4.2.12,5455
5.2,4.2.11,363414
5.2,4.2.10,136666
5.2,4.2.1,122951
5.2,4.2,446961
5.2,4.1rc1,634
5.2,4.1b1,838
5.2,4.1a1,636
5.2,4.1.9,39883
5.2,4.1.8,14469
5.2,4.1.7,304553
5.2,4.1.6,39755
5.2,4.1.5,84480
5.2,4.1.4,74130
5.2,4.1.3,100504
5.2,4.1.2,55105
5.2,4.1.13,273456
5.2,4.1.12,42410
5.2,4.1.11,31422
5.2,4.1.10,53043
5.2,4.1.1,78433
5.2,4.1,218644
5.2,4.0rc1,1836
5.2,4.0b1,660
5.2,4.0a1,753
5.2,4.0.9,9389
5.2,4.0.8,22795
5.2,4.0.7,18573
5.2,4.0.6,104168
5.2,4.0.5,50172
5.2,4.0.4,364772
5.2,4.0.3,50853
5.2,4.0.2,45741
5.2,4.0.10,341489
5.2,4.0.1,36616
5.2,4.0,78750
5.2,3.2rc1,583
5.2,3.2b1,581
5.2,3.2a1,842
5.2,3.2.9,90306
5.2,3.2.8,311129
5.2,3.2.7,57380
5.2,3.2.6,73772
5.2,3.2.5,63529
5.2,3.2.4,67267
5.2,3.2.3,79078
5.2,3.2.25,1493959
5.2,3.2.24,82138
5.2,3.2.23,109017
5.2,3.2.22,28509
5.2,3.2.21,25462
5.2,3.2.20,105052
5.2,3.2.2,15479
5.2,3.2.19,77946
5.2,3.2.18,73989
5.2,3.2.17,18818
5.2,3.2.16,150273
5.2,3.2.15,344454
5.2,3.2.14,47244
5.2,3.2.13,110752
5.2,3.2.12,97201
5.2,3.2.11,34628
5.2,3.2.10,29973
5.2,3.2.1,8813
5.2,3.2,271162
5.2,3.1rc1,840
5.2,3.1b1,861
5.2,3.1a1,749
5.2,3.1.9,2498
5.2,3.1.8,11180
5.2,3.1.7,67440
5.2,3.1.6,44138
5.2,3.1.5,34715
5.2,3.1.4,67534
5.2,3.1.3,54524
5.2,3.1.2,37181
5.2,3.1.14,203286
5.2,3.1.13,17392
5.2,3.1.12,31381
5.2,3.1.11,2870
5.2,3.1.10,3317
5.2,3.1.1,48620
