version,downloads_count
5.2b1,48496
5.2a1,61801
5.1.7,459835
5.1.6,4302322
5.1.5,3779736
5.1.4,1054276
5.1.3,508050
5.1.2,343852
5.1.1,414171
5.1,252699
5.1rc1,36865
5.1b1,81089
5.1a1,97460
5.0.8,131392
5.0.7,3541036
5.0.6,5445671
5.0.5,30291
5.0.4,2232930
5.0.3,612241
5.0.2,254934
5.0.1,264435
5.0,222819
5.0rc1,15279
5.0b1,41916
5.0a1,28555
4.2.8,34127
4.2.7,3842103
4.2.6,3514601
4.2.5,2865400
4.2.4,804685
4.2.3,756565
4.2.2,364758
4.2.1,255757
4.2,430893
4.2rc1,12538
4.2b1,25383
4.2a1,28561
4.1.7,3213957
4.1.6,998270
4.1.5,1307834
4.1.4,331069
4.1.3,395858
4.1.2,215020
4.1.1,171990
4.1,220017
4.1rc1,11882
4.1b1,25969
4.1a1,29175
4.0.7,3354
4.0.6,1486373
4.0.5,1602518
4.0.4,1136509
4.0.3,240119
4.0.2,179973
4.0.1,168786
4.0,141551
4.0rc1,11179
4.0b1,21057
4.0a1,23366
3.2.9,2349833
3.2.8,2164092
3.2.7,1716492
3.2.6,471821
3.2.5,630134
3.2.4,290324
3.2.3,189816
3.2.2,57930
3.2.10,6738
3.2.1,30536
3.2,296110
3.2rc1,18031
3.2b1,25450
3.2a1,26290
3.1.8,6479
3.1.7,2427222
3.1.6,1152131
3.1.5,1028378
3.1.4,394710
3.1.3,523764
3.1.2,294327
3.1.1,231458
3.1,311914
3.1rc1,13966
3.1b1,28958
3.1a1,27668
3.0.9,46129
3.0.8,1316443
3.0.7,1457988
3.0.6,1017303
3.0.5,331566
3.0.4,220224
3.0.3,200859
3.0.2,127147
3.0.1,50062
3.0,109495
3.0rc1,12236
3.0b1,27319
3.0a1,24853
2.2.8,6437
2.2.7,1053105
2.2.6,1483251
2.2.5,1062072
2.2.4,568210
2.2.3,201066
2.2.2,143554
2.2.1,164242
2.2,231080
2.2rc1,13621
2.2b1,36193
2.2a1,22729
2.1.8,6908
2.1.7,1395960
2.1.6,9292
2.1.5,859656
2.1.4,118835
2.1.3,124397
2.1.2,126951
2.1.1,88784
2.1,125103
2.1rc1,2273
2.1b1,2494
2.1a1,3758
2.0.8,526
2.0.7,178011
2.0.6,178866
2.0.5,132308
2.0.4,56940
2.0.3,26305
2.0.2,25273
2.0.1,21444
2.0,30041
2.0rc1,3662
2.0b1,5917
2.0a1,3819
1.11.8,854
1.11.7,386326
1.11.6,431158
1.11.5,282052
1.11.4,103188
1.11.3,64298
1.11.2,46104
1.11.1,39378
1.11,89985
1.11rc1,10204
1.11b1,9771
1.11a1,8920
1.10.7,2043
1.10.6,457529
1.10.5,701536
1.10.4,111868
1.10.3,79952
1.10.2,93441
1.10.1,62718
1.10,82359
1.9.9,389
1.9.8,146231
1.9.7,487593
1.9.6,221991
1.9.5,75839
1.9.4,46110
1.9.3,12434
1.9.2,55335
1.9.1,31441
1.9,55994
1.10rc1,9332
1.10b1,15577
1.10a1,16185
